date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2015-06-20,11521,Saturday,1,6,2015,d_1604,,,,,0,0,0
2015-06-21,11521,Sunday,2,6,2015,d_1605,Father's day,Cultural,,,0,0,0
2015-06-22,11521,Monday,3,6,2015,d_1606,,,,,0,0,0
2015-06-23,11521,Tuesday,4,6,2015,d_1607,,,,,0,0,0
2015-06-24,11521,Wednesday,5,6,2015,d_1608,,,,,0,0,0
2015-06-25,11521,Thursday,6,6,2015,d_1609,,,,,0,0,0
2015-06-26,11521,Friday,7,6,2015,d_1610,,,,,0,0,0
2015-06-27,11522,Saturday,1,6,2015,d_1611,,,,,0,0,0
2015-06-28,11522,Sunday,2,6,2015,d_1612,,,,,0,0,0
2015-06-29,11522,Monday,3,6,2015,d_1613,,,,,0,0,0
2015-06-30,11522,Tuesday,4,6,2015,d_1614,,,,,0,0,0
2015-07-01,11522,Wednesday,5,7,2015,d_1615,,,,,1,1,0
2015-07-02,11522,Thursday,6,7,2015,d_1616,,,,,1,0,1
2015-07-03,11522,Friday,7,7,2015,d_1617,,,,,1,1,1
2015-07-04,11523,Saturday,1,7,2015,d_1618,IndependenceDay,National,,,1,0,0
2015-07-05,11523,Sunday,2,7,2015,d_1619,,,,,1,1,1
2015-07-06,11523,Monday,3,7,2015,d_1620,,,,,1,1,1
2015-07-07,11523,Tuesday,4,7,2015,d_1621,,,,,1,1,0
2015-07-08,11523,Wednesday,5,7,2015,d_1622,,,,,1,0,1
2015-07-09,11523,Thursday,6,7,2015,d_1623,,,,,1,1,1
2015-07-10,11523,Friday,7,7,2015,d_1624,,,,,1,0,0
2015-07-11,11524,Saturday,1,7,2015,d_1625,,,,,0,1,1
2015-07-12,11524,Sunday,2,7,2015,d_1626,,,,,0,1,1
2015-07-13,11524,Monday,3,7,2015,d_1627,,,,,0,1,0
2015-07-14,11524,Tuesday,4,7,2015,d_1628,,,,,0,0,1
2015-07-15,11524,Wednesday,5,7,2015,d_1629,,,,,0,1,1
2015-07-16,11524,Thursday,6,7,2015,d_1630,,,,,0,0,0
2015-07-17,11524,Friday,7,7,2015,d_1631,,,,,0,0,0
2015-07-18,11525,Saturday,1,7,2015,d_1632,Eid al-Fitr,Religious,,,0,0,0
2015-07-19,11525,Sunday,2,7,2015,d_1633,,,,,0,0,0
2015-07-20,11525,Monday,3,7,2015,d_1634,,,,,0,0,0
2015-07-21,11525,Tuesday,4,7,2015,d_1635,,,,,0,0,0
2015-07-22,11525,Wednesday,5,7,2015,d_1636,,,,,0,0,0
2015-07-23,11525,Thursday,6,7,2015,d_1637,,,,,0,0,0
2015-07-24,11525,Friday,7,7,2015,d_1638,,,,,0,0,0
2015-07-25,11526,Saturday,1,7,2015,d_1639,,,,,0,0,0
2015-07-26,11526,Sunday,2,7,2015,d_1640,,,,,0,0,0
2015-07-27,11526,Monday,3,7,2015,d_1641,,,,,0,0,0
2015-07-28,11526,Tuesday,4,7,2015,d_1642,,,,,0,0,0
2015-07-29,11526,Wednesday,5,7,2015,d_1643,,,,,0,0,0
2015-07-30,11526,Thursday,6,7,2015,d_1644,,,,,0,0,0
2015-07-31,11526,Friday,7,7,2015,d_1645,,,,,0,0,0
2015-08-01,11527,Saturday,1,8,2015,d_1646,,,,,1,1,0
2015-08-02,11527,Sunday,2,8,2015,d_1647,,,,,1,0,1
2015-08-03,11527,Monday,3,8,2015,d_1648,,,,,1,1,1
2015-08-04,11527,Tuesday,4,8,2015,d_1649,,,,,1,0,0
2015-08-05,11527,Wednesday,5,8,2015,d_1650,,,,,1,1,1
2015-08-06,11527,Thursday,6,8,2015,d_1651,,,,,1,1,1
2015-08-07,11527,Friday,7,8,2015,d_1652,,,,,1,1,0
2015-08-08,11528,Saturday,1,8,2015,d_1653,,,,,1,0,1
2015-08-09,11528,Sunday,2,8,2015,d_1654,,,,,1,1,1
2015-08-10,11528,Monday,3,8,2015,d_1655,,,,,1,0,0
2015-08-11,11528,Tuesday,4,8,2015,d_1656,,,,,0,1,1
2015-08-12,11528,Wednesday,5,8,2015,d_1657,,,,,0,1,1
2015-08-13,11528,Thursday,6,8,2015,d_1658,,,,,0,1,0
2015-08-14,11528,Friday,7,8,2015,d_1659,,,,,0,0,1
2015-08-15,11529,Saturday,1,8,2015,d_1660,,,,,0,1,1
2015-08-16,11529,Sunday,2,8,2015,d_1661,,,,,0,0,0
2015-08-17,11529,Monday,3,8,2015,d_1662,,,,,0,0,0
2015-08-18,11529,Tuesday,4,8,2015,d_1663,,,,,0,0,0
2015-08-19,11529,Wednesday,5,8,2015,d_1664,,,,,0,0,0
2015-08-20,11529,Thursday,6,8,2015,d_1665,,,,,0,0,0
2015-08-21,11529,Friday,7,8,2015,d_1666,,,,,0,0,0
2015-08-22,11530,Saturday,1,8,2015,d_1667,,,,,0,0,0
2015-08-23,11530,Sunday,2,8,2015,d_1668,,,,,0,0,0
2015-08-24,11530,Monday,3,8,2015,d_1669,,,,,0,0,0
2015-08-25,11530,Tuesday,4,8,2015,d_1670,,,,,0,0,0
2015-08-26,11530,Wednesday,5,8,2015,d_1671,,,,,0,0,0
2015-08-27,11530,Thursday,6,8,2015,d_1672,,,,,0,0,0
2015-08-28,11530,Friday,7,8,2015,d_1673,,,,,0,0,0
2015-08-29,11531,Saturday,1,8,2015,d_1674,,,,,0,0,0
2015-08-30,11531,Sunday,2,8,2015,d_1675,,,,,0,0,0
2015-08-31,11531,Monday,3,8,2015,d_1676,,,,,0,0,0
2015-09-01,11531,Tuesday,4,9,2015,d_1677,,,,,1,1,0
2015-09-02,11531,Wednesday,5,9,2015,d_1678,,,,,1,0,1
2015-09-03,11531,Thursday,6,9,2015,d_1679,,,,,1,1,1
2015-09-04,11531,Friday,7,9,2015,d_1680,,,,,1,0,0
2015-09-05,11532,Saturday,1,9,2015,d_1681,,,,,1,1,1
2015-09-06,11532,Sunday,2,9,2015,d_1682,,,,,1,1,1
2015-09-07,11532,Monday,3,9,2015,d_1683,LaborDay,National,,,1,1,0
2015-09-08,11532,Tuesday,4,9,2015,d_1684,,,,,1,0,1
2015-09-09,11532,Wednesday,5,9,2015,d_1685,,,,,1,1,1
2015-09-10,11532,Thursday,6,9,2015,d_1686,,,,,1,0,0
2015-09-11,11532,Friday,7,9,2015,d_1687,,,,,0,1,1
2015-09-12,11533,Saturday,1,9,2015,d_1688,,,,,0,1,1
2015-09-13,11533,Sunday,2,9,2015,d_1689,,,,,0,1,0
2015-09-14,11533,Monday,3,9,2015,d_1690,,,,,0,0,1
2015-09-15,11533,Tuesday,4,9,2015,d_1691,,,,,0,1,1
2015-09-16,11533,Wednesday,5,9,2015,d_1692,,,,,0,0,0
2015-09-17,11533,Thursday,6,9,2015,d_1693,,,,,0,0,0
2015-09-18,11533,Friday,7,9,2015,d_1694,,,,,0,0,0
2015-09-19,11534,Saturday,1,9,2015,d_1695,,,,,0,0,0
2015-09-20,11534,Sunday,2,9,2015,d_1696,,,,,0,0,0
2015-09-21,11534,Monday,3,9,2015,d_1697,,,,,0,0,0
2015-09-22,11534,Tuesday,4,9,2015,d_1698,,,,,0,0,0
2015-09-23,11534,Wednesday,5,9,2015,d_1699,,,,,0,0,0
2015-09-24,11534,Thursday,6,9,2015,d_1700,EidAlAdha,Religious,,,0,0,0
2015-09-25,11534,Friday,7,9,2015,d_1701,,,,,0,0,0
2015-09-26,11535,Saturday,1,9,2015,d_1702,,,,,0,0,0
2015-09-27,11535,Sunday,2,9,2015,d_1703,,,,,0,0,0
2015-09-28,11535,Monday,3,9,2015,d_1704,,,,,0,0,0
2015-09-29,11535,Tuesday,4,9,2015,d_1705,,,,,0,0,0
2015-09-30,11535,Wednesday,5,9,2015,d_1706,,,,,0,0,0
2015-10-01,11535,Thursday,6,10,2015,d_1707,,,,,1,1,0
2015-10-02,11535,Friday,7,10,2015,d_1708,,,,,1,0,1
2015-10-03,11536,Saturday,1,10,2015,d_1709,,,,,1,1,1
2015-10-04,11536,Sunday,2,10,2015,d_1710,,,,,1,0,0
2015-10-05,11536,Monday,3,10,2015,d_1711,,,,,1,1,1
2015-10-06,11536,Tuesday,4,10,2015,d_1712,,,,,1,1,1
2015-10-07,11536,Wednesday,5,10,2015,d_1713,,,,,1,1,0
2015-10-08,11536,Thursday,6,10,2015,d_1714,,,,,1,0,1
2015-10-09,11536,Friday,7,10,2015,d_1715,,,,,1,1,1
2015-10-10,11537,Saturday,1,10,2015,d_1716,,,,,1,0,0
2015-10-11,11537,Sunday,2,10,2015,d_1717,,,,,0,1,1
2015-10-12,11537,Monday,3,10,2015,d_1718,ColumbusDay,National,,,0,1,1
2015-10-13,11537,Tuesday,4,10,2015,d_1719,,,,,0,1,0
2015-10-14,11537,Wednesday,5,10,2015,d_1720,,,,,0,0,1
2015-10-15,11537,Thursday,6,10,2015,d_1721,,,,,0,1,1
2015-10-16,11537,Friday,7,10,2015,d_1722,,,,,0,0,0
2015-10-17,11538,Saturday,1,10,2015,d_1723,,,,,0,0,0
2015-10-18,11538,Sunday,2,10,2015,d_1724,,,,,0,0,0
2015-10-19,11538,Monday,3,10,2015,d_1725,,,,,0,0,0
2015-10-20,11538,Tuesday,4,10,2015,d_1726,,,,,0,0,0
